words,attribution,abs_attribution
4,-1.714950703899817e-07,1.714950703899817e-07
?,-1.6121784855493444e-07,1.6121784855493444e-07
`,3.4670037304957622e-06,3.4670037304957622e-06
then,-2.667590998366375e-06,2.667590998366375e-06
please,-1.5746292733186403e-07,1.5746292733186403e-07
edit,-9.405255426035585e-07,9.405255426035585e-07
they,-1.9416270218529874e-06,1.9416270218529874e-06
are,1.592640640642142e-06,1.592640640642142e-06
metal,-2.464592911134033e-06,2.464592911134033e-06
##core,-2.4174856784204257e-06,2.4174856784204257e-06
and,8.143993387897525e-07,8.143993387897525e-07
post,-1.3813088476901705e-06,1.3813088476901705e-06
##hard,-3.893763992540923e-06,3.893763992540923e-06
##core,-2.4174856784204257e-06,2.4174856784204257e-06
thanks,-2.7277769058700133e-06,2.7277769058700133e-06
.,3.044718841406878e-06,3.044718841406878e-06
last,0.023048701073481268,0.023048701073481268
warning,0.028782603258065864,0.028782603258065864
",",-0.0316637172868876,0.0316637172868876
mark,-0.009267749973461279,0.009267749973461279
!,0.00960069195330898,0.00960069195330898
anymore,-0.007661892022840478,0.007661892022840478
defiant,0.05091410590010973,0.05091410590010973
arguments,-0.05298438095393362,0.05298438095393362
and,6.285509683030707e-05,6.285509683030707e-05
i,0.01617246143742505,0.01617246143742505
will,0.030190932895718278,0.030190932895718278
be,0.027535408210597304,0.027535408210597304
sub,0.03495829227225161,0.03495829227225161
##du,0.23030920252661624,0.23030920252661624
##ing,0.09192282004593015,0.09192282004593015
you,0.17482455138310546,0.17482455138310546
with,0.015497723807935444,0.015497723807935444
my,0.07973434086318604,0.07973434086318604
mer,0.09937980804635349,0.09937980804635349
##ci,0.04688703298240203,0.04688703298240203
##less,0.020888067190376964,0.020888067190376964
wrath,0.08128678627173196,0.08128678627173196
!,0.00960069195330898,0.00960069195330898
matt,0.07391537224831593,0.07391537224831593
##ythe,0.06963232421292148,0.06963232421292148
##w,0.01610163859395627,0.01610163859395627
##hit,0.01708768615670781,0.01708768615670781
##e,0.03360443171921416,0.03360443171921416
is,-0.00025023502954036724,0.00025023502954036724
a,0.13283838479946214,0.13283838479946214
sad,0.2856174175009234,0.2856174175009234
##case,0.20628272988254767,0.20628272988254767
please,0.12528692501207392,0.12528692501207392
go,0.03121636820488868,0.03121636820488868
to,-0.03278254059724058,0.03278254059724058
bed,0.050658995578580064,0.050658995578580064
i,-2.30709975825729e-06,2.30709975825729e-06
",",7.621331345539129e-07,7.621331345539129e-07
of,-2.3347441760649374e-07,2.3347441760649374e-07
all,-1.1063595155295564e-06,1.1063595155295564e-06
people,5.189322029811588e-07,5.189322029811588e-07
",",7.621331345539129e-07,7.621331345539129e-07
ah,-3.3008663659147055e-07,3.3008663659147055e-07
##ou,4.775341777309624e-07,4.775341777309624e-07
##ld,4.69858489342491e-07,4.69858489342491e-07
##nt,-1.1058981228918056e-07,1.1058981228918056e-07
be,-1.8028830354901838e-06,1.8028830354901838e-06
saying,-3.3345939591898586e-06,3.3345939591898586e-06
this,-1.4352700832860562e-06,1.4352700832860562e-06
",",7.621331345539129e-07,7.621331345539129e-07
but,-1.107322652664362e-06,1.107322652664362e-06
the,-1.5012803503559707e-06,1.5012803503559707e-06
article,-3.5613085108735284e-06,3.5613085108735284e-06
needs,-6.91081883408352e-07,6.91081883408352e-07
citations,7.434287332251688e-07,7.434287332251688e-07
.,-2.2268242916354447e-06,2.2268242916354447e-06
`,6.710628524848548e-07,6.710628524848548e-07
:,1.0002912745994402e-05,1.0002912745994402e-05
as,-1.1123052874306482e-05,1.1123052874306482e-05
it,-7.905382065771109e-06,7.905382065771109e-06
happens,-1.6113764521100546e-06,1.6113764521100546e-06
i,-2.719205767789414e-06,2.719205767789414e-06
do,3.595918574908867e-07,3.595918574908867e-07
think,3.580190264667793e-06,3.580190264667793e-06
this,-1.2430667067227396e-05,1.2430667067227396e-05
article,1.5500596427020247e-05,1.5500596427020247e-05
has,-9.492862418009885e-06,9.492862418009885e-06
become,-1.553230959576132e-05,1.553230959576132e-05
biased,-4.163921267828779e-06,4.163921267828779e-06
by,-8.538825286990484e-06,8.538825286990484e-06
the,-7.185417030441234e-06,7.185417030441234e-06
one,1.4954585251841305e-06,1.4954585251841305e-06
-,-3.7695939626930718e-06,3.7695939626930718e-06
sided,5.502650657668031e-06,5.502650657668031e-06
editing,4.7078768184266623e-07,4.7078768184266623e-07
of,1.3297634448477087e-07,1.3297634448477087e-07
oz,8.8078819265379e-07,8.8078819265379e-07
##his,-2.860325899744553e-08,2.860325899744553e-08
##tory,1.0357510207704973e-06,1.0357510207704973e-06
",",-4.189389771872124e-06,4.189389771872124e-06
but,-1.6719303365542735e-06,1.6719303365542735e-06
these,9.957627906070628e-08,9.957627906070628e-08
`,6.710628524848548e-07,6.710628524848548e-07
`,6.710628524848548e-07,6.710628524848548e-07
anonymous,-8.374760828128019e-07,8.374760828128019e-07
`,6.710628524848548e-07,6.710628524848548e-07
`,6.710628524848548e-07,6.710628524848548e-07
ran,5.126787219834769e-06,5.126787219834769e-06
##ts,-4.577692125726479e-06,4.577692125726479e-06
are,6.188943968258947e-07,6.188943968258947e-07
not,-1.017126156741881e-06,1.017126156741881e-06
going,-4.3709559729858635e-06,4.3709559729858635e-06
to,-5.0124073299071785e-06,5.0124073299071785e-06
solve,-7.848557302882772e-06,7.848557302882772e-06
anything,8.367297536639014e-07,8.367297536639014e-07
.,1.0311154211470766e-06,1.0311154211470766e-06
by,-8.538825286990484e-06,8.538825286990484e-06
the,-7.185417030441234e-06,7.185417030441234e-06
way,-5.6997708725151284e-06,5.6997708725151284e-06
an,-1.973752632882272e-06,1.973752632882272e-06
argument,1.007196332482025e-06,1.007196332482025e-06
from,2.7905186297793084e-06,2.7905186297793084e-06
authority,-1.9886759922386755e-06,1.9886759922386755e-06
is,9.603110110557114e-07,9.603110110557114e-07
not,-1.017126156741881e-06,1.017126156741881e-06
fa,8.195890208779909e-07,8.195890208779909e-07
##la,6.1964588882422224e-06,6.1964588882422224e-06
##cious,-2.8101745829317592e-06,2.8101745829317592e-06
(,-8.957705548664197e-06,8.957705548664197e-06
though,-1.0046450318072868e-05,1.0046450318072868e-05
some,-7.771394584008262e-06,7.771394584008262e-06
forms,-2.0000434988528617e-05,2.0000434988528617e-05
of,1.3297634448477087e-07,1.3297634448477087e-07
it,-7.905382065771109e-06,7.905382065771109e-06
can,-5.303703063459731e-06,5.303703063459731e-06
be,-6.202079591972592e-06,6.202079591972592e-06
),5.870365080434012e-06,5.870365080434012e-06
.,1.0311154211470766e-06,1.0311154211470766e-06
it,-7.905382065771109e-06,7.905382065771109e-06
is,9.603110110557114e-07,9.603110110557114e-07
these,-2.8596630505733437e-05,2.8596630505733437e-05
are,-2.436687728557261e-06,2.436687728557261e-06
mostly,-1.7891006838205192e-05,1.7891006838205192e-05
assertion,8.737335427679803e-07,8.737335427679803e-07
##s,1.00241292184595e-06,1.00241292184595e-06
without,-5.17556246373722e-06,5.17556246373722e-06
basis,-6.560626205553634e-06,6.560626205553634e-06
in,-3.490163229034844e-06,3.490163229034844e-06
policy,-1.1780279062348771e-06,1.1780279062348771e-06
or,-1.6553849446905424e-06,1.6553849446905424e-06
guide,-4.256064508544937e-06,4.256064508544937e-06
##line,-1.040336376275481e-05,1.040336376275481e-05
or,-1.6553849446905424e-06,1.6553849446905424e-06
good,-6.2127023487669065e-06,6.2127023487669065e-06
sense,-4.4590497389528805e-06,4.4590497389528805e-06
.,4.84891911085801e-06,4.84891911085801e-06
if,1.234574187463241e-06,1.234574187463241e-06
a,2.0037644797344214e-06,2.0037644797344214e-06
section,-8.323840822917132e-06,8.323840822917132e-06
has,2.9194793879347987e-06,2.9194793879347987e-06
enough,6.450773378110115e-07,6.450773378110115e-07
material,-1.06473323826591e-06,1.06473323826591e-06
so,-2.9032894730275705e-06,2.9032894730275705e-06
that,8.799815798737502e-07,8.799815798737502e-07
sub,1.5686424725916885e-06,1.5686424725916885e-06
##section,-1.656286907563297e-06,1.656286907563297e-06
##s,1.00241292184595e-06,1.00241292184595e-06
are,-2.436687728557261e-06,2.436687728557261e-06
helpful,2.1737295737168517e-06,2.1737295737168517e-06
to,-2.4833552099977725e-06,2.4833552099977725e-06
navigation,-1.3408420474779575e-05,1.3408420474779575e-05
it,-2.9767458863793077e-06,2.9767458863793077e-06
should,-9.280560333154836e-06,9.280560333154836e-06
have,-3.013950916839177e-06,3.013950916839177e-06
sub,1.5686424725916885e-06,1.5686424725916885e-06
##section,-1.656286907563297e-06,1.656286907563297e-06
##s,1.00241292184595e-06,1.00241292184595e-06
.,4.84891911085801e-06,4.84891911085801e-06
material,-1.06473323826591e-06,1.06473323826591e-06
that,8.799815798737502e-07,8.799815798737502e-07
should,-9.280560333154836e-06,9.280560333154836e-06
be,-4.867975521071178e-06,4.867975521071178e-06
here,-2.1989110841444985e-06,2.1989110841444985e-06
",",-1.9704622536021792e-06,1.9704622536021792e-06
if,1.234574187463241e-06,1.234574187463241e-06
necessary,6.612600546280175e-07,6.612600546280175e-07
to,-2.4833552099977725e-06,2.4833552099977725e-06
properly,-3.7447382987333486e-06,3.7447382987333486e-06
understand,-9.5541479916698e-07,9.5541479916698e-07
the,-2.388469137091127e-06,2.388469137091127e-06
subject,1.5340548128603513e-06,1.5340548128603513e-06
",",-1.9704622536021792e-06,1.9704622536021792e-06
should,-9.280560333154836e-06,9.280560333154836e-06
be,-4.867975521071178e-06,4.867975521071178e-06
here,-2.1989110841444985e-06,2.1989110841444985e-06
.,4.84891911085801e-06,4.84891911085801e-06
`,-5.397455070729242e-07,5.397455070729242e-07
:,9.591203685996824e-06,9.591203685996824e-06
two,-3.488491962789038e-06,3.488491962789038e-06
points,-4.6571458867618965e-06,4.6571458867618965e-06
.,1.2014166481254708e-05,1.2014166481254708e-05
firstly,-1.1394328230675073e-05,1.1394328230675073e-05
",",8.660268567057472e-07,8.660268567057472e-07
we,-8.419301639372314e-06,8.419301639372314e-06
have,-1.683771218869823e-05,1.683771218869823e-05
only,-5.273197475384713e-06,5.273197475384713e-06
your,-6.030837364403803e-06,6.030837364403803e-06
(,-1.7056980384951936e-05,1.7056980384951936e-05
and,-4.65401913431569e-06,4.65401913431569e-06
maybe,-4.2583167188856655e-06,4.2583167188856655e-06
their,-5.692913193420821e-06,5.692913193420821e-06
own,-4.865532962549203e-06,4.865532962549203e-06
),-4.6304137977436125e-06,4.6304137977436125e-06
word,8.593689873681253e-06,8.593689873681253e-06
that,5.5871264642077125e-06,5.5871264642077125e-06
this,-1.6371872295098106e-06,1.6371872295098106e-06
organization,5.259890790506755e-06,5.259890790506755e-06
is,7.618807387644717e-07,7.618807387644717e-07
indeed,-3.5845315380403997e-06,3.5845315380403997e-06
independent,9.217139608425113e-07,9.217139608425113e-07
;,-8.805432569511536e-07,8.805432569511536e-07
amazon,7.739518014657562e-06,7.739518014657562e-06
",",8.660268567057472e-07,8.660268567057472e-07
for,-2.719691331517787e-06,2.719691331517787e-06
example,-3.674578145824453e-06,3.674578145824453e-06
",",8.660268567057472e-07,8.660268567057472e-07
disagree,1.4939818446006979e-05,1.4939818446006979e-05
##s,5.153645178561081e-06,5.153645178561081e-06
.,1.2014166481254708e-05,1.2014166481254708e-05
it,1.096550296865823e-05,1.096550296865823e-05
is,7.618807387644717e-07,7.618807387644717e-07
indeed,-3.5845315380403997e-06,3.5845315380403997e-06
possible,-4.614512722463452e-06,4.614512722463452e-06
that,5.5871264642077125e-06,5.5871264642077125e-06
amazon,7.739518014657562e-06,7.739518014657562e-06
got,4.030711036339686e-07,4.030711036339686e-07
it,1.096550296865823e-05,1.096550296865823e-05
wrong,1.420885639175409e-06,1.420885639175409e-06
",",8.660268567057472e-07,8.660268567057472e-07
but,-3.995510399519265e-06,3.995510399519265e-06
from,-6.232863705856865e-06,6.232863705856865e-06
my,8.750553290375483e-07,8.750553290375483e-07
point,-2.1017163705335617e-06,2.1017163705335617e-06
of,6.383478891240259e-06,6.383478891240259e-06
view,-2.8650146143800823e-06,2.8650146143800823e-06
",",8.660268567057472e-07,8.660268567057472e-07
it,1.096550296865823e-05,1.096550296865823e-05
is,7.618807387644717e-07,7.618807387644717e-07
equally,-1.375009780645799e-05,1.375009780645799e-05
possible,-4.614512722463452e-06,4.614512722463452e-06
that,5.5871264642077125e-06,5.5871264642077125e-06
amazon,7.739518014657562e-06,7.739518014657562e-06
is,7.618807387644717e-07,7.618807387644717e-07
",",8.660268567057472e-07,8.660268567057472e-07
in,-1.050034890066816e-05,1.050034890066816e-05
fact,5.231445167347356e-06,5.231445167347356e-06
",",8.660268567057472e-07,8.660268567057472e-07
correct,3.0948966624893625e-06,3.0948966624893625e-06
.,1.2014166481254708e-05,1.2014166481254708e-05
even,-3.281228802247557e-05,3.281228802247557e-05
info,1.4842945040297196e-07,1.4842945040297196e-07
that,4.4414378940148376e-07,4.4414378940148376e-07
isn,8.920390208683093e-07,8.920390208683093e-07
##t,1.924912386606244e-06,1.924912386606244e-06
needed,1.5293443658448584e-06,1.5293443658448584e-06
or,-1.7603454647805155e-06,1.7603454647805155e-06
wanted,4.683006315597468e-06,4.683006315597468e-06
on,-2.6193152752975924e-06,2.6193152752975924e-06
the,-3.613614440380069e-06,3.613614440380069e-06
page,-1.7004378517309914e-06,1.7004378517309914e-06
.,-2.655665950943365e-06,2.655665950943365e-06
can,-8.300610562821613e-06,8.300610562821613e-06
you,-1.0550490772416976e-07,1.0550490772416976e-07
help,-4.397127915748144e-06,4.397127915748144e-06
me,-2.5846796458306998e-06,2.5846796458306998e-06
?,7.657171363509463e-07,7.657171363509463e-07
no,0.038529797696684485,0.038529797696684485
",",-0.018025428163048692,0.018025428163048692
these,-0.005235853097860191,0.005235853097860191
links,0.00626693995367314,0.00626693995367314
are,-0.014216932617340037,0.014216932617340037
very,0.001676784910161337,0.001676784910161337
appropriate,-0.0024216078954432787,0.0024216078954432787
and,0.011229238200490724,0.011229238200490724
they,-0.05822362225205535,0.05822362225205535
will,0.016386251114812796,0.016386251114812796
stay,0.031200250986811538,0.031200250986811538
.,-0.033153866364744704,0.033153866364744704
they,-0.05822362225205535,0.05822362225205535
are,-0.014216932617340037,0.014216932617340037
not,0.055655989554555065,0.055655989554555065
advertising,0.026090971364007388,0.026090971364007388
anything,0.014423072839312826,0.014423072839312826
.,-0.033153866364744704,0.033153866364744704
i,0.05385688484056921,0.05385688484056921
have,-0.007613473097451925,0.007613473097451925
already,0.02270330312938636,0.02270330312938636
been,-0.029813018513345634,0.029813018513345634
through,0.027319994529191673,0.027319994529191673
arbitration,-0.013345451864709043,0.013345451864709043
on,0.005551288382837654,0.005551288382837654
this,0.006294733704641726,0.006294733704641726
.,-0.033153866364744704,0.033153866364744704
mod,0.07964219016719574,0.07964219016719574
##s,0.03708860498341161,0.03708860498341161
who,0.01777232689499034,0.01777232689499034
live,0.03584247790206074,0.03584247790206074
in,0.03171654710861152,0.03171654710861152
charlotte,0.022250220797011198,0.022250220797011198
agree,0.06085236077666048,0.06085236077666048
!,0.039072983978187974,0.039072983978187974
you,-0.004734555430891156,0.004734555430891156
do,0.011131661821837375,0.011131661821837375
not,0.055655989554555065,0.055655989554555065
live,0.03584247790206074,0.03584247790206074
in,0.03171654710861152,0.03171654710861152
charlotte,0.022250220797011198,0.022250220797011198
",",-0.018025428163048692,0.018025428163048692
so,-0.01193893186821796,0.01193893186821796
piss,0.33771181946274903,0.33771181946274903
off,0.11050896534803907,0.11050896534803907
!,0.039072983978187974,0.039072983978187974
`,1.029214629849932e-06,1.029214629849932e-06
=,8.969879915593145e-06,8.969879915593145e-06
=,8.969879915593145e-06,8.969879915593145e-06
a,-4.963852100957034e-06,4.963852100957034e-06
message,-4.666140654117525e-06,4.666140654117525e-06
from,-1.3117359754894464e-06,1.3117359754894464e-06
the,-4.3662350833065456e-06,4.3662350833065456e-06
un,3.3357185195265944e-08,3.3357185195265944e-08
regarding,-6.252528709528263e-06,6.252528709528263e-06
this,2.517280803669059e-05,2.517280803669059e-05
`,1.029214629849932e-06,1.029214629849932e-06
`,1.029214629849932e-06,1.029214629849932e-06
un,3.3357185195265944e-08,3.3357185195265944e-08
`,1.029214629849932e-06,1.029214629849932e-06
`,1.029214629849932e-06,1.029214629849932e-06
geo,4.628672462251298e-06,4.628672462251298e-06
##sche,1.5995555074981612e-06,1.5995555074981612e-06
##me,-7.312343824908728e-07,7.312343824908728e-07
=,8.969879915593145e-06,8.969879915593145e-06
=,8.969879915593145e-06,8.969879915593145e-06
dear,6.279623983384036e-07,6.279623983384036e-07
bart,-2.2620914612892975e-07,2.2620914612892975e-07
thank,-1.4181901801561597e-07,1.4181901801561597e-07
you,2.1920860894812875e-06,2.1920860894812875e-06
for,1.6338706939721446e-06,1.6338706939721446e-06
your,4.1585167534573285e-06,4.1585167534573285e-06
email,-1.1084419189711202e-06,1.1084419189711202e-06
.,-1.628486997245597e-06,1.628486997245597e-06
the,-4.3662350833065456e-06,4.3662350833065456e-06
geographical,-3.639010730930607e-06,3.639010730930607e-06
grouping,-3.319990063578368e-06,3.319990063578368e-06
##s,-3.7873132797682455e-06,3.7873132797682455e-06
used,-1.2480761855419106e-05,1.2480761855419106e-05
by,-1.3403575542560012e-06,1.3403575542560012e-06
the,-4.3662350833065456e-06,4.3662350833065456e-06
united,-5.3843071042479585e-06,5.3843071042479585e-06
nations,-2.884994704937832e-06,2.884994704937832e-06
statistics,-4.429636442392193e-06,4.429636442392193e-06
division,-2.5930966571767553e-06,2.5930966571767553e-06
follow,-2.704221985010858e-06,2.704221985010858e-06
the,-4.3662350833065456e-06,4.3662350833065456e-06
m,-2.1553088674428013e-06,2.1553088674428013e-06
##49,-4.967922777869518e-06,4.967922777869518e-06
standard,-6.504863342744241e-06,6.504863342744241e-06
for,1.6338706939721446e-06,1.6338706939721446e-06
area,-5.279903035850753e-06,5.279903035850753e-06
codes,1.7878006999098008e-06,1.7878006999098008e-06
for,1.6338706939721446e-06,1.6338706939721446e-06
statistical,-5.021940360325266e-07,5.021940360325266e-07
use,-3.5501544486221654e-06,3.5501544486221654e-06
",",-1.1059848658349673e-06,1.1059848658349673e-06
details,-1.3210580212289395e-05,1.3210580212289395e-05
of,-4.402373420984143e-06,4.402373420984143e-06
which,-7.825780141425152e-06,7.825780141425152e-06
can,-5.631568322549625e-06,5.631568322549625e-06
be,-6.54875863150926e-06,6.54875863150926e-06
found,-3.1975007965617745e-06,3.1975007965617745e-06
here,-4.33522797180764e-06,4.33522797180764e-06
:,-6.447221912171532e-06,6.447221912171532e-06
the,-4.3662350833065456e-06,4.3662350833065456e-06
designations,6.212502701362601e-07,6.212502701362601e-07
employed,-1.5369664839947894e-05,1.5369664839947894e-05
and,-1.7621399650425224e-05,1.7621399650425224e-05
the,-4.3662350833065456e-06,4.3662350833065456e-06
hey,-1.1414311279341737e-06,1.1414311279341737e-06
!,2.8555793795905e-06,2.8555793795905e-06
i,-9.936947483086627e-07,9.936947483086627e-07
have,4.290861534113069e-07,4.290861534113069e-07
changed,-4.868138688252786e-07,4.868138688252786e-07
the,-1.1253231077268577e-06,1.1253231077268577e-06
text,-1.1316692464841657e-06,1.1316692464841657e-06
cause,-8.886568791845242e-07,8.886568791845242e-07
mr,-1.4358861722862488e-06,1.4358861722862488e-06
pre,-1.27396356340554e-06,1.27396356340554e-06
##log,-1.955958271762706e-06,1.955958271762706e-06
is,-2.740301773219181e-06,2.740301773219181e-06
not,-3.1329884987441615e-06,3.1329884987441615e-06
from,-1.9837198517204217e-06,1.9837198517204217e-06
croatia,-1.814130669063525e-06,1.814130669063525e-06
",",-3.457026170483192e-07,3.457026170483192e-07
he,-1.5579972766390633e-06,1.5579972766390633e-06
is,-2.740301773219181e-06,2.740301773219181e-06
from,-1.9837198517204217e-06,1.9837198517204217e-06
bosnia,-3.736562514495083e-07,3.736562514495083e-07
!,2.8555793795905e-06,2.8555793795905e-06
=,4.372707593627056e-06,4.372707593627056e-06
=,4.372707593627056e-06,4.372707593627056e-06
wikipedia,9.600873195354742e-06,9.600873195354742e-06
:,2.6854339618339484e-06,2.6854339618339484e-06
mind,-3.946389727542581e-06,3.946389727542581e-06
bender,5.78678828411313e-06,5.78678828411313e-06
##s,9.479234043167084e-07,9.479234043167084e-07
=,4.372707593627056e-06,4.372707593627056e-06
=,4.372707593627056e-06,4.372707593627056e-06
hello,1.6283612921476583e-05,1.6283612921476583e-05
!,9.549076539942957e-06,9.549076539942957e-06
i,-2.34284273985444e-05,2.34284273985444e-05
have,-1.0121021111439208e-05,1.0121021111439208e-05
noticed,-2.018329036368685e-05,2.018329036368685e-05
your,9.757893988914064e-06,9.757893988914064e-06
past,-2.026747614395411e-06,2.026747614395411e-06
interest,-8.108308270029001e-06,8.108308270029001e-06
in,-3.990783735552281e-06,3.990783735552281e-06
wikipedia,9.600873195354742e-06,9.600873195354742e-06
:,2.6854339618339484e-06,2.6854339618339484e-06
mind,-3.946389727542581e-06,3.946389727542581e-06
bender,5.78678828411313e-06,5.78678828411313e-06
##s,9.479234043167084e-07,9.479234043167084e-07
and,5.110934992626053e-06,5.110934992626053e-06
wanted,8.703359796944364e-06,8.703359796944364e-06
to,5.267935165707195e-07,5.267935165707195e-07
let,-1.0949396691775343e-05,1.0949396691775343e-05
you,-7.227118643767987e-07,7.227118643767987e-07
know,6.08704592563218e-07,6.08704592563218e-07
that,-5.139124707003616e-06,5.139124707003616e-06
round,-1.4498996838198357e-06,1.4498996838198357e-06
one,6.054178699396306e-06,6.054178699396306e-06
is,-1.639752326724466e-05,1.639752326724466e-05
now,-4.707046791341636e-06,4.707046791341636e-06
officially,-2.0027825890993723e-05,2.0027825890993723e-05
open,3.740230497036289e-06,3.740230497036289e-06
!,9.549076539942957e-06,9.549076539942957e-06
consisting,-2.3102916188795308e-05,2.3102916188795308e-05
of,-3.0692951731145787e-06,3.0692951731145787e-06
ten,7.3803063583015554e-06,7.3803063583015554e-06
challenging,2.30032606081257e-05,2.30032606081257e-05
",",-1.2931243527590418e-05,1.2931243527590418e-05
pu,-6.292522289832489e-06,6.292522289832489e-06
##zzling,1.164715177707463e-05,1.164715177707463e-05
questions,-1.7479005410075762e-05,1.7479005410075762e-05
",",-1.2931243527590418e-05,1.2931243527590418e-05
it,-1.4155340292931438e-05,1.4155340292931438e-05
is,-1.639752326724466e-05,1.639752326724466e-05
sure,-2.720049213988276e-06,2.720049213988276e-06
to,5.267935165707195e-07,5.267935165707195e-07
be,7.017428727331336e-06,7.017428727331336e-06
tons,-1.0582714650633496e-05,1.0582714650633496e-05
of,-3.0692951731145787e-06,3.0692951731145787e-06
wi,-1.0860673643984324e-05,1.0860673643984324e-05
##ki,-8.364150449484303e-06,8.364150449484303e-06
fun,5.792787540609256e-07,5.792787540609256e-07
!,9.549076539942957e-06,9.549076539942957e-06
in,-3.990783735552281e-06,3.990783735552281e-06
addition,-1.370189041359739e-05,1.370189041359739e-05
",",-1.2931243527590418e-05,1.2931243527590418e-05
take,1.0587860931622381e-06,1.0587860931622381e-06
a,-2.384352625322698e-05,2.384352625322698e-05
look,-5.126011647700591e-05,5.126011647700591e-05
at,-5.264528461286028e-05,5.264528461286028e-05
=,1.485050198853545e-06,1.485050198853545e-06
=,1.485050198853545e-06,1.485050198853545e-06
artist,-1.8345653033015603e-06,1.8345653033015603e-06
=,1.485050198853545e-06,1.485050198853545e-06
=,1.485050198853545e-06,1.485050198853545e-06
*,1.0419578603032604e-06,1.0419578603032604e-06
g,2.865586393420188e-06,2.865586393420188e-06
-,-1.7348477227254837e-06,1.7348477227254837e-06
friend,-7.557227507068047e-06,7.557227507068047e-06
-,-1.7348477227254837e-06,1.7348477227254837e-06
debut,-6.247948788534753e-06,6.247948788534753e-06
-,-1.7348477227254837e-06,1.7348477227254837e-06
(,-1.2697185149280577e-06,1.2697185149280577e-06
january,-3.3344929267424947e-06,3.3344929267424947e-06
",",-1.6099417116644245e-06,1.6099417116644245e-06
2015,2.6879974385719736e-06,2.6879974385719736e-06
),-6.062718340563144e-06,6.062718340563144e-06
`,1.7172548170677155e-07,1.7172548170677155e-07
:,5.776846773701253e-06,5.776846773701253e-06
:,5.776846773701253e-06,5.776846773701253e-06
:,5.776846773701253e-06,5.776846773701253e-06
:,5.776846773701253e-06,5.776846773701253e-06
:,5.776846773701253e-06,5.776846773701253e-06
:,5.776846773701253e-06,5.776846773701253e-06
